"","utility_name","State","Data Year","Utility Number","Ownership","SAIDI_IEEE","SAIFI With MED...7","CAIDI With MED...8","SAIDI Without MED...9","SAIFI Without MED...10","CAIDI Without MED...11","SAIDI With MED Minus LOS","SAIFI With MED Minus LOS","CAIDI Minus MED","Number of Customers...15","Highest Dist. Voltage...16","Outages Recorded Automatically...17","Revenues","total_sale"
"146","Easley Combined Utility System","SC","2020",6709,"public","342.29","2.65","129.16604000000001","131.4","1.73","75.953756999999996","342.29","2.65","129.16604000000001","15197","12.5","Y",34874,279754
"147","Electrical Dist No2 Pinal County","AZ","2020",15048,"public","1197.3",".",".","764.5",".",".","1197.3",".",".","5371",".","Y",22277,252219
"148","Electrical Dist No3 Pinal County","AZ","2020",30518,"public","50.93","0.64","79.578125","50.93","0.64","79.578125","50.93","0.64","79.578125","27500","69","Y",72524,719132
"149","Fayetteville Public Works Commission","NC","2020",6235,"public","91.388999999999996","1.137","80.377308999999997","27.36","0.55800000000000005","49.032257999999999","91.388999999999996","1.137","80.377308999999997","86142","25","Y",197986,1915980
"150","Florence Utility Comm","WI","2020",6424,"public","143.214","1.1850000000000001","120.8557","59.136000000000003","0.65700000000000003","90.009131999999994","59.136000000000003","0.65700000000000003","90.009131999999994","1524","12.4","N",2263.6,17128
"151","Foley Board of Utilities","AL","2020",6491,"public","5822.4","3.6219999999999999","1607.5097000000001","64.494","0.96599999999999997","66.763975000000002","5693.8","3.2269999999999999","1764.4251999999999","50311","12.4","Y",121411,1081365
"152","Gainesville Regional Utilities","FL","2020",6909,"public","162.94999999999999","1.5680000000000001","103.92219","57.62","1.095","52.621004999999997","152.47999999999999","1.5109999999999999","100.91330000000001","98401","12.5","Y",237636.2,1790570
"153","Greenville Utilities Comm","NC","2020",7639,"public","73.52","0.46","159.82608999999999","18.05","0.24","75.208332999999996","73.52","0.46","159.82608999999999","70386","12.5","N",165798.3,1685002
"154","Greenwood Utilities Comm","MS","2020",7651,"public","16.649999999999999","7.0999999999999994E-2","234.50703999999999",".",".",".",".",".",".","9230",".","N",24752.2,262828
"155","Groton Dept of Utilities - (CT)","CT","2020",7716,"public","66.430000000000007","1.01","65.772277000000003","31.51","0.4","78.775000000000006","66.430000000000007","1.01","65.772277000000003","14292","35","N",54446.6,424481
"156","Imperial Irrigation District","CA","2020",9216,"public","72.069999999999993","0.61","118.14754000000001","58","0.57999999999999996","100","59.55","0.5","119.1","157713","12.4","N",434111,3492394
"157","Johnson City - (TN)","TN","2020",9777,"public","29.65","0.34","87.205882000000003","27.82","0.33","84.303030000000007","29.65","0.34","87.205882000000003","79593","13.2","Y",186589,1752930
"158","Kerrville Public Utility Board","TX","2020",28604,"public","367.83100000000002","1.2210000000000001","301.25389000000001","19.637","0.221","88.855204000000001","367.83100000000002","1.2210000000000001","301.25389000000001","23265.5",".","Y",41321.4,496895
"159","Knoxville Utilities Board","TN","2020",10421,"public","279","2.11","132.22748999999999","128","1.65","77.575757999999993","279","2.11","132.22748999999999","207360","13.2","Y",518474,5340239
"160","Lehi City Corporation","UT","2020",10879,"public","138.89599999999999","0.73799999999999999","188.20596","138.89599999999999","0.73799999999999999","188.20596","75.718999999999994","0.53800000000000003","140.74163999999999","24564","12.5","N",37436,416794
"161","Lincoln Electric System","NE","2020",11018,"public","58.1","0.6","96.833332999999996","21.6","0.36","60","58.1","0.6","96.833332999999996","139123","34.5","Y",262878.1,3085705
"162","Los Alamos County","NM","2020",11204,"public","69.05","0.55000000000000004","125.54545",".",".",".",".",".",".","9045","13.2","N",38912.6,539291
